GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BlackWidow-Chess,default,Bishop,0,24,0,2,0,6,0,4,0,3
BlackWidow-Chess,default,Queen,0,33,0,6,0,9,0,6,0,3
BlackWidow-Chess,default,Pawn,0,81,4,18,0,21,4,10,0,3
BlackWidow-Chess,default,Board,108,91,18,16,20,23,11,16,2,8
BlackWidow-Chess,default,Game,248,274,20,28,61,72,19,24,7,12
BlackWidow-Chess,default,King,2,45,1,9,1,11,1,7,0,3
BlackWidow-Chess,default,Move,281,241,24,24,72,61,26,17,11,8
BlackWidow-Chess,default,Piece,10,302,5,41,5,93,5,32,0,14
BlackWidow-Chess,default,Knight,0,53,2,8,0,10,2,6,0,3
BlackWidow-Chess,default,Alliance,281,241,24,24,72,61,26,17,11,8
BlackWidow-Chess,default,Main,10,0,0,0,4,0,2,0,2,0
BlackWidow-Chess,default,Rook,0,24,0,2,0,6,0,4,0,3
BlackWidow-Chess,default,BoardUnit,281,241,24,24,72,61,26,17,11,8
